date,eco_net_debt_R$,eco_net_debt_R$_federal_govt,eco_GDP_R$_12_months,Coffee,Iron Ore,Meat index,Soybeans,Sugar,bud_group_personal_spent_value,bud_type_mandatory_spent_value,exp_DIC_y,exp_trade_balance_y,CNY,EUR,USD,eco_total_revenue
2001-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-02,0.0015399002450821042,0.0017406819625086778,0.0,0.006594088738903214,0.0,0.016707261995601908,-0.017164633391722084,-0.026578802827625148,0.0,0.0,0.0,-0.009243697478991595,0.013709504726360566,0.009800426194574219,0.01757798600403271,-0.01919169255918403
2001-03,0.0020208706864619647,0.0016519959657654987,0.0,-0.0024768735516698115,0.0,0.06294399860564637,-0.006628417505736728,-0.024789971281688306,0.0,0.0,-0.007170795306388533,-0.008763505402160865,0.021579124476123424,0.0020736005245471922,0.0276123828727316,0.008274918629662897
2001-04,0.0006051759934839196,0.0011013994364472285,0.0006554497935687409,-0.0027153783109040708,0.0,0.0011108667891294166,-0.012415916372686242,-0.02565108649598652,0.0,0.0,-0.009778357235984358,-0.003001200480192076,0.004290434090978623,0.008194000491762998,0.005479777013402853,0.007731511054515958
2001-05,0.002807544405962245,0.002761854945490555,-0.0003363492361734277,0.014764293366180403,0.0,0.03216897387742135,0.011327668722490525,0.034409700658555586,0.0,0.0,-0.022164276401564487,-0.0030012004801920796,0.03248034507020714,0.012232603884927418,0.04158462815798847,-0.0030126513045556497
2001-06,0.0007480680546708973,0.0006812220017226867,-0.003070358002643575,-0.023505920656563206,0.0,0.014787726333108986,0.013702027232008474,-0.009198395846088614,0.0,0.0,-0.013037809647979182,0.0021608643457382976,-0.010186913028847666,-0.007732972707155117,-0.01307081010556288,0.0014747375300106919
2001-07,0.0035058974382696784,0.0032849195066863984,-0.0011862349165687736,-0.01992916182625734,0.0,0.006465554703441012,0.03536804863135784,-0.008035591210666326,0.0,0.0,-0.026075619295958252,0.003841536614645858,0.02338860167028667,0.034675436439636054,0.02998458071403154,0.0030250048363354848
2001-08,0.0028634071240800085,0.002566123114694646,0.0009184973216093961,0.0015843967167765705,0.0,0.010726314346725219,-0.00840918638787519,-0.023496012097708963,0.0,0.0,0.010430247718383329,0.002400960384153661,0.02229955030744285,0.04052536677321539,0.028561262009251576,-3.276424911087539e-05
2001-09,0.0021980109892590916,0.0019521238174032979,0.0015505485473278346,-0.004324453089349478,0.0,-0.016386020409164703,-0.022408008433573268,-0.028360236868035182,0.0,0.0,-0.010430247718383329,0.009603841536614647,0.022152711921441526,0.021561757233013623,0.028371486181947625,-0.006521909265442147
2001-10,0.0017977806307313826,8.750224477242774e-05,0.0006654925417168556,-0.007716672878626707,0.0,-0.044141489720845306,-0.02522755916362629,-0.022311755644821407,0.0,0.0,0.007822685788787503,0.014405762304921972,0.006629141301355224,0.001194574215228228,0.008492468271853904,0.012476451773155414
2001-11,-0.0013347698857659601,-0.0025455028562698795,-0.00039468000222142585,0.010076268471508387,0.0,-0.04228901538609797,0.004155127391656355,0.02670266828501816,0.0,0.0,0.005215123859191623,0.004801920768307322,-0.03305699164856685,-0.03504425866732225,-0.04232000948879133,-0.00743767365113851
2001-12,0.001781227946964975,0.0011563329263400701,-0.0003175786151501381,-0.009192885787978694,0.0,-0.014547492763675174,-0.005193909239570027,0.005393479761463538,0.0,0.0,0.010430247718383301,0.004921968787515003,-0.03853895805928598,-0.042416605196295476,-0.04941288103427832,0.022412137612673286
2002-01,0.0032579334705964413,0.002973479814670152,-0.00017195876700229484,0.006735950693800313,-0.0015260727851214503,0.03436192734616206,-0.00019786320912651423,-0.0042663597059250935,0.0033673508501179117,0.004336151763047254,-0.04954367666232071,0.032292917166866754,0.01813454067117376,0.003860339316449468,0.023223816866326685,0.0047809505089571325
2002-02,-0.0008379994692264969,-0.0007595462748007792,8.965999893070786e-05,0.003546973696963468,0.0,0.007757537641874257,0.00029679481368971583,-0.06360764302549565,0.0033673508501178284,0.0043361517630472746,0.013037809647979126,-0.002400960384153661,-0.012981431062436877,-0.007843619375460964,-0.016629106867512844,-0.02272159068455991
2002-03,-0.0005743028558332502,-8.531775511587403e-05,0.0002401562742720964,0.020130895745919253,0.0,-0.007077908763246876,0.018302346844199013,0.007313007732725474,0.0033673508501179117,-6.938893903907228e-18,0.0,-0.002400960384153661,-0.004600936094710795,-0.003721006474879107,-0.0058356066895978165,-0.0010492824181015936
2002-04,0.0012788985356687599,0.0010170123284399535,0.0003449735755624572,0.005145367063300765,0.0,-0.0409985052971128,0.005738033064667525,-0.03000978435020546,0.003367350850117884,-1.3877787807814457e-17,0.011734028683181214,0.0,0.007207317446235761,0.021188836980575387,0.009227849602656768,0.012234038721353105
2002-05,0.003958081954626533,0.0037311122273208652,-4.8381198037295015e-05,-0.015750417820294044,0.0,-0.0022470349465082418,0.01137713452477257,0.016908442536424872,0.003367350850117856,0.0,-0.005215123859191623,-0.0036014405762304913,0.02957875738015847,0.047190804032456346,0.03783655556873444,-0.006786427216034896
2002-06,0.0068504977087990165,0.006761591256951235,0.0005553743259401056,-0.011803253665806646,0.0,0.01296765940341249,0.018797004867015243,-0.013600295847535804,0.0033673508501179117,1.3877787807814457e-17,0.0,0.004201680672268893,0.05966227171219679,0.095223752151463,0.0764796584035109,-0.004195029799008307
