Date,WD_CHN_GDP,WD_UK_GDP,WD_US_GDP
2001-01,98.4953082240157,100.672496277806,100.9289256974
2001-02,98.3242505703105,100.644866728709,100.710441749252
2001-03,98.1674824066988,100.600183515554,100.50562127923
2001-04,98.0053864421227,100.538848473811,100.305102261479
2001-05,97.8293509817341,100.46409509595,100.094244725325
2001-06,97.6383496607792,100.378790920185,99.8651960785257
2001-07,97.4358126236276,100.283322157403,99.6296706186815
2001-08,97.2296721532438,100.176563863117,99.4086669917261
2001-09,97.0271675847989,100.057672248445,99.2229328910088
2001-10,96.8381278858374,99.9287693505991,99.082671337444
2001-11,96.6793057615613,99.7937242939989,98.990960376051
2001-12,96.5689940563615,99.6577646962939,98.9439323213595
2002-01,96.5219980443547,99.5276363405226,98.9274908690874
2002-02,96.5526329412741,99.4103938954427,98.9241238864557
2002-03,96.6649490983235,99.311890619642,98.9174990717195
2002-04,96.8275183550891,99.2344556833639,98.8961242600336
2002-05,97.0104253918584,99.1787757623793,98.8521133674076
2002-06,97.1956692713102,99.144325710115,98.7810046736518
2002-07,97.382658773499,99.1283027443562,98.6831785845147
2002-08,97.5706307275924,99.1275085907134,98.5624044663994
2002-09,97.7597265644809,99.1389524651914,98.4262865786079
2002-10,97.9457271176904,99.1594077808384,98.2883305077071
2002-11,98.1274162514593,99.1867143897314,98.1644806092929
2002-12,98.3016975860636,99.2204714191146,98.0698353440899
2003-01,98.4580847067562,99.2622770318489,98.0143937974347
2003-02,98.5796476697244,99.3144753707351,98.0061654809017
2003-03,98.6918991192975,99.3783686338776,98.0514154762082
2003-04,98.8198699207957,99.4517235763783,98.1514688448877
2003-05,98.9842240887941,99.5304260057922,98.3040744192525
2003-06,99.1935115056601,99.6094886579966,98.5007209234137
2003-07,99.4397706389981,99.6837136398219,98.7200343517105
2003-08,99.7120973806294,99.7476499473191,98.9363524544595
2003-09,99.9990787970742,99.7959481371126,99.1266135356961
2003-10,100.287753401421,99.8245087675626,99.277424760916
2003-11,100.556237206557,99.8305787411852,99.3826659665312
2003-12,100.779003511939,99.8143318009176,99.4438156678259
2004-01,100.929066335191,99.7821286930555,99.4734442170168
2004-02,100.979992017109,99.7418427109564,99.4879839171975
2004-03,100.911617567265,99.6994553600082,99.5027604124502
2004-04,100.763262138588,99.6563696032911,99.5281513560983
2004-05,100.575894780607,99.6118884412806,99.570804525349
2004-06,100.389444860129,99.5658573451923,99.6341217576251
2004-07,100.227557811014,99.521524362946,99.7175319579267
2004-08,100.094850637507,99.4840447016465,99.818587813559
2004-09,99.9866109244384,99.4590200547512,99.9336537154002
2004-10,99.8978896512777,99.4507084965284,100.057371517853
2004-11,99.8210373670853,99.4625008768673,100.18309753174
2004-12,99.7546234537203,99.4963541366566,100.302782624353
2005-01,99.6998676997317,99.5509409238958,100.406785833386
2005-02,99.6614106250774,99.6237966977105,100.486599476169
2005-03,99.6542879463152,99.7121355892241,100.538802329378
2005-04,99.6721848861294,99.8125215472254,100.570845373014
2005-05,99.708496030571,99.921980984041,100.594387708003
2005-06,99.7669786773019,100.038430764792,100.620236979939
2005-07,99.8493213260982,100.160642269814,100.65409023297
2005-08,99.9442661547042,100.286877801262,100.699365470204
2005-09,100.038077034597,100.41331249019,100.75964113539
2005-10,100.121139325291,100.532374832261,100.840469129556
2005-11,100.184520889984,100.63513788477,100.944961893778
2005-12,100.228414062337,100.714480922853,101.06810501084
2006-01,100.263999137823,100.769666740851,101.189552087127
2006-02,100.312410969091,100.802871646673,101.284436809044
2006-03,100.346690872971,100.817707059149,101.334560947992
2006-04,100.371360304835,100.819596386252,101.341714072173
2006-05,100.391426644523,100.814802773451,101.318460079142
2006-06,100.415337710161,100.810691153315,101.2822189304
2006-07,100.453661683109,100.816783190656,101.251817446519
2006-08,100.519477229616,100.843252300139,101.242677972491
2006-09,100.621402371932,100.899020191651,101.261917402692
2006-10,100.763251360644,100.988719942105,101.302212951242
2006-11,100.9407088023,101.113975127451,101.351068153613
2006-12,101.141422256658,101.272551348276,101.398816349393
2007-01,101.349652958255,101.455251865066,101.446286778214
2007-02,101.540386075817,101.650936490018,101.499458684872
2007-03,101.72928771492,101.850151331293,101.56441892798
2007-04,101.920662915919,102.048181145482,101.642190903549
2007-05,102.111422156114,102.243298541842,101.730563169176
2007-06,102.299176401497,102.435418644166,101.82526552123
2007-07,102.480540301265,102.625285484626,101.920649720714
2007-08,102.656043685412,102.812868513225,102.009398998417
2007-09,102.81877925459,102.996240735362,102.082448265738
2007-10,102.951804705051,103.170941702355,102.129639081619
2007-11,103.036810384623,103.328126276367,102.143111190733
2007-12,103.053808721449,103.45365388332,102.122782959169
2008-01,102.984160037684,103.528769274259,102.084437226037
2008-02,102.808685882743,103.530874135567,102.044715287883
2008-03,102.528610519191,103.438271777305,102.00763649275
2008-04,102.135661305089,103.240439876564,101.951449731215
2008-05,101.625728282045,102.931173838965,101.840501822918
2008-06,101.000984208511,102.509462038712,101.638690511785
2008-07,100.27535440693,101.988418147613,101.32698231955
2008-08,99.483033859943,101.386470503934,100.900216586499
2008-09,98.6749397502514,100.725860235932,100.371699293019
2008-10,97.9097217284463,100.037033870614,99.7857097722561
2008-11,97.2553347472179,99.3539084423569,99.1971186286849
2008-12,96.7707278260642,98.7114176570573,98.6556754733458
2009-01,96.4873509282005,98.1428921562259,98.1911225831671
2009-02,96.4204163817944,97.6777131800069,97.8213070754633
2009-03,96.550760267479,97.3338218667981,97.5546180374479
2009-04,96.8280156492921,97.1028546281403,97.3855050895358
2009-05,97.2062984126608,96.967242862867,97.3050540146431
2009-06,97.6354900911936,96.9087692420746,97.3043413687922
2009-07,98.0704430120741,96.9101261253068,97.3713208580344
2009-08,98.4844589555079,96.9598724736049,97.4942165250739
2009-09,98.8602596864781,97.0530209355034,97.6599311725456
2009-10,99.1846519333033,97.1880514203058,97.8482836719529
2009-11,99.4508539600745,97.366164165394,98.0400706820383
2009-12,99.6554419111808,97.5873460263286,98.2233934961741
2010-01,99.8014134672767,97.8430961484317,98.3996111743467
2010-02,99.8903209386769,98.1206996933782,98.57597392344
2010-03,99.9394288653943,98.4048107841004,98.7585142805491
2010-04,99.9573338461813,98.6772527855844,98.9446766204772
2010-05,99.9544316722244,98.9199819881047,99.1267257160813
