Date,CNY,EUR,USD
07-07-2000,0.217536,1.70604,1.7972
10-07-2000,0.217947,1.72205,1.8006
11-07-2000,0.217536,1.71485,1.7972
12-07-2000,0.218286,1.70344,1.8034
13-07-2000,0.219133,1.69973,1.8104
14-07-2000,0.219158,1.70191,1.8106
17-07-2000,0.21762,1.68637,1.7979
18-07-2000,0.217511,1.66593,1.797
19-07-2000,0.218407,1.67135,1.8044
20-07-2000,0.218056,1.68398,1.8015
21-07-2000,0.216918,1.68058,1.7921
24-07-2000,0.217342,1.67955,1.7956
25-07-2000,0.21664,1.68236,1.7898
26-07-2000,0.216967,1.69315,1.7925
27-07-2000,0.216023,1.66614,1.7847
28-07-2000,0.215793,1.64938,1.7828
31-07-2000,0.214777,1.64713,1.7748
01-08-2000,0.216375,1.63809,1.788
02-08-2000,0.21681,1.63995,1.7916
03-08-2000,0.218783,1.64257,1.8079
04-08-2000,0.216847,1.62965,1.7919
07-08-2000,0.217355,1.63275,1.7961
08-08-2000,0.21773,1.62657,1.7992
09-08-2000,0.217222,1.6199,1.795
10-08-2000,0.217367,1.63338,1.7962
11-08-2000,0.217331,1.62413,1.7959
14-08-2000,0.218081,1.6355,1.8021
15-08-2000,0.218505,1.65078,1.8056
16-08-2000,0.218674,1.65767,1.807
17-08-2000,0.218989,1.66132,1.8096
18-08-2000,0.219933,1.6503,1.8174
21-08-2000,0.220235,1.64401,1.8199
22-08-2000,0.219872,1.63257,1.8169
23-08-2000,0.220078,1.64211,1.8186
24-08-2000,0.220296,1.64519,1.8204
25-08-2000,0.220405,1.64619,1.8213
28-08-2000,0.221179,1.64795,1.8277
29-08-2000,0.22205,1.64012,1.8349
30-08-2000,0.220961,1.63518,1.8259
31-08-2000,0.220696,1.62236,1.8234
01-09-2000,0.220502,1.64299,1.8218
04-09-2000,0.22095,1.64249,1.8255
05-09-2000,0.221422,1.63008,1.8294
06-09-2000,0.220369,1.58717,1.8207
08-09-2000,0.220575,1.58172,1.8224
11-09-2000,0.220273,1.56571,1.8199
12-09-2000,0.221241,1.58247,1.8279
13-09-2000,0.221737,1.57612,1.832
14-09-2000,0.221701,1.58686,1.8317
15-09-2000,0.223165,1.57816,1.8438
18-09-2000,0.224618,1.58694,1.8558
19-09-2000,0.224376,1.58023,1.8538
20-09-2000,0.224472,1.57813,1.8546
21-09-2000,0.224121,1.59344,1.8517
22-09-2000,0.225053,1.63318,1.8594
25-09-2000,0.222947,1.61256,1.842
26-09-2000,0.223988,1.6373,1.8506
27-09-2000,0.223819,1.63662,1.8492
28-09-2000,0.223662,1.62641,1.8479
29-09-2000,0.223121,1.63157,1.8437
02-10-2000,0.223677,1.62362,1.8483
03-10-2000,0.223859,1.62234,1.8498
04-10-2000,0.224234,1.62414,1.8529
05-10-2000,0.223895,1.61095,1.8501
06-10-2000,0.224125,1.61075,1.852
09-10-2000,0.224779,1.61637,1.8574
10-10-2000,0.224379,1.62,1.8541
11-10-2000,0.22513,1.62094,1.8603
13-10-2000,0.227078,1.60437,1.8764
16-10-2000,0.226352,1.59475,1.8704
17-10-2000,0.225904,1.59925,1.8667
18-10-2000,0.227453,1.58051,1.8795
19-10-2000,0.226473,1.58081,1.8714
20-10-2000,0.227465,1.58511,1.8796
23-10-2000,0.228942,1.58423,1.8918
