date,eco_fiscal_result_month,eco_net_debt_R$,eco_net_debt_R$_federal_govt,eco_GDP_R$_12_months,Coffee,Iron Ore,Meat index,Soybeans,Sugar,bud_group_personal_spent_value,bud_type_mandatory_spent_value,exp_DIC_y,exp_trade_balance_y,CNY,EUR,USD,eco_total_revenue,eco_fiscal_result_month_synthet_lag_6,eco_fiscal_result_month_synthet_roll_mean_12,eco_fiscal_result_month_synthet_roll_std_12,eco_fiscal_result_month_synthet_lag_12,eco_fiscal_result_month_synthet_roll_mean_12,eco_fiscal_result_month_synthet_roll_std_12,eco_net_debt_R$_synthet_lag_6,eco_net_debt_R$_synthet_roll_mean_12,eco_net_debt_R$_synthet_roll_std_12,eco_net_debt_R$_synthet_lag_12,eco_net_debt_R$_synthet_roll_mean_12,eco_net_debt_R$_synthet_roll_std_12,eco_net_debt_R$_federal_govt_synthet_lag_6,eco_net_debt_R$_federal_govt_synthet_roll_mean_12,eco_net_debt_R$_federal_govt_synthet_roll_std_12,eco_net_debt_R$_federal_govt_synthet_lag_12,eco_net_debt_R$_federal_govt_synthet_roll_mean_12,eco_net_debt_R$_federal_govt_synthet_roll_std_12,eco_GDP_R$_12_months_synthet_lag_6,eco_GDP_R$_12_months_synthet_roll_mean_12,eco_GDP_R$_12_months_synthet_roll_std_12,eco_GDP_R$_12_months_synthet_lag_12,eco_GDP_R$_12_months_synthet_roll_mean_12,eco_GDP_R$_12_months_synthet_roll_std_12,Coffee_synthet_lag_6,Coffee_synthet_roll_mean_12,Coffee_synthet_roll_std_12,Coffee_synthet_lag_12,Coffee_synthet_roll_mean_12,Coffee_synthet_roll_std_12,Iron Ore_synthet_lag_6,Iron Ore_synthet_roll_mean_12,Iron Ore_synthet_roll_std_12,Iron Ore_synthet_lag_12,Iron Ore_synthet_roll_mean_12,Iron Ore_synthet_roll_std_12,Meat index_synthet_lag_6,Meat index_synthet_roll_mean_12,Meat index_synthet_roll_std_12,Meat index_synthet_lag_12,Meat index_synthet_roll_mean_12,Meat index_synthet_roll_std_12,Soybeans_synthet_lag_6,Soybeans_synthet_roll_mean_12,Soybeans_synthet_roll_std_12,Soybeans_synthet_lag_12,Soybeans_synthet_roll_mean_12,Soybeans_synthet_roll_std_12,Sugar_synthet_lag_6,Sugar_synthet_roll_mean_12,Sugar_synthet_roll_std_12,Sugar_synthet_lag_12,Sugar_synthet_roll_mean_12,Sugar_synthet_roll_std_12,bud_group_personal_spent_value_synthet_lag_6,bud_group_personal_spent_value_synthet_roll_mean_12,bud_group_personal_spent_value_synthet_roll_std_12,bud_group_personal_spent_value_synthet_lag_12,bud_group_personal_spent_value_synthet_roll_mean_12,bud_group_personal_spent_value_synthet_roll_std_12,bud_type_mandatory_spent_value_synthet_lag_6,bud_type_mandatory_spent_value_synthet_roll_mean_12,bud_type_mandatory_spent_value_synthet_roll_std_12,bud_type_mandatory_spent_value_synthet_lag_12,bud_type_mandatory_spent_value_synthet_roll_mean_12,bud_type_mandatory_spent_value_synthet_roll_std_12,exp_DIC_y_synthet_lag_6,exp_DIC_y_synthet_roll_mean_12,exp_DIC_y_synthet_roll_std_12,exp_DIC_y_synthet_lag_12,exp_DIC_y_synthet_roll_mean_12,exp_DIC_y_synthet_roll_std_12,exp_trade_balance_y_synthet_lag_6,exp_trade_balance_y_synthet_roll_mean_12,exp_trade_balance_y_synthet_roll_std_12,exp_trade_balance_y_synthet_lag_12,exp_trade_balance_y_synthet_roll_mean_12,exp_trade_balance_y_synthet_roll_std_12,CNY_synthet_lag_6,CNY_synthet_roll_mean_12,CNY_synthet_roll_std_12,CNY_synthet_lag_12,CNY_synthet_roll_mean_12,CNY_synthet_roll_std_12,EUR_synthet_lag_6,EUR_synthet_roll_mean_12,EUR_synthet_roll_std_12,EUR_synthet_lag_12,EUR_synthet_roll_mean_12,EUR_synthet_roll_std_12,USD_synthet_lag_6,USD_synthet_roll_mean_12,USD_synthet_roll_std_12,USD_synthet_lag_12,USD_synthet_roll_mean_12,USD_synthet_roll_std_12,eco_total_revenue_synthet_lag_6,eco_total_revenue_synthet_roll_mean_12,eco_total_revenue_synthet_roll_std_12,eco_total_revenue_synthet_lag_12,eco_total_revenue_synthet_roll_mean_12,eco_total_revenue_synthet_roll_std_12
2001-01,2629.62,541333.74,337611.99,1209046.1,40.0711760398,22.1804109893876,65.9387291430547,48.3648907150972,57.6671705915692,62678574405.0,136371696663.0,24.0,0.5,0.238588,1.8437,1.9711,22633.832093669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02,1053.24,550253.48,346552.5,1218911.0,41.0617103756319,22.1804109893876,67.6750455381529,46.1676378899939,54.2375853131372,62678574405.0,136371696663.0,24.0,-0.27,0.247551,1.89153,2.0452,18150.7730482988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03,3884.62,561959.2,355037.5,1234635.0,40.6896455770543,22.1804109893876,74.2165540618591,45.3191310353431,51.038821203564,62678574405.0,136371696663.0,23.45,-1.0,0.261659,1.90165,2.1616,20083.7421544895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04,6500.83,565464.63,360694.52,1250830.7,40.2817536668567,22.1804109893876,74.3320018365599,43.7297637180494,47.7289434339383,62678574405.0,136371696663.0,22.7,-1.25,0.264464,1.94164,2.1847,21889.77465842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05,4011.68,581727.09,374879.99,1263306.0,42.4995793744812,22.1804109893876,77.6751897731324,45.1798239398034,52.1689855072847,62678574405.0,136371696663.0,21.0,-1.5,0.285699,2.00134,2.36,21186.0382037126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06,1407.57,586060.21,378378.89,1265570.0,38.968625754112,22.1804109893876,79.212016793931,46.9338269154622,50.9820741485027,62678574405.0,136371696663.0,20.0,-1.32,0.279039,1.9636,2.3049,21530.5276437697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07,1261.38,606367.82,395250.93,1272918.6,35.9749567492054,22.1804109893876,79.8839550587373,51.4613075205021,49.9452048245407,62678574405.0,136371696663.0,18.0,-1.0,0.29433,2.13283,2.4313,22237.1498060413,2629.62,,,,,,541333.74,,,,,,337611.99,,,,,,1209046.1,,,,,,40.0711760398,,,,,,22.1804109893876,,,,,,65.9387291430547,,,,,,48.3648907150972,,,,,,57.6671705915692,,,,,,62678574405.0,,,,,,136371696663.0,,,,,,24.0,,,,,,0.5,,,,,,0.238588,,,,,,1.8437,,,,,,1.9711,,,,,,22633.832093669,,,,,
2001-08,2471.01,622953.86,408431.08,1280805.4,36.2129576939436,22.1804109893876,80.9986963888307,50.3848436004227,46.9134062249285,62678574405.0,136371696663.0,18.8,-0.8,0.308909,2.33061,2.5517,22229.4962828886,1053.24,,,,,,550253.48,,,,,,346552.5,,,,,,1218911.0,,,,,,41.0617103756319,,,,,,22.1804109893876,,,,,,67.6750455381529,,,,,,46.1676378899939,,,,,,54.2375853131372,,,,,,62678574405.0,,,,,,136371696663.0,,,,,,24.0,,,,,,-0.27,,,,,,0.247551,,,,,,1.89153,,,,,,2.0452,,,,,,18150.7730482988,,,,,
2001-09,1952.36,635685.65,418457.6,1289198.6,35.5633578116394,22.1804109893876,79.2957652984859,47.5163838604464,43.2539543118286,62678574405.0,136371696663.0,18.0,0.0,0.323392,2.43584,2.6713,20706.0191723962,3884.62,,,,,,561959.2,,,,,,355037.5,,,,,,1234635.0,,,,,,40.6896455770543,,,,,,22.1804109893876,,,,,,74.2165540618591,,,,,,45.3191310353431,,,,,,51.038821203564,,,,,,62678574405.0,,,,,,136371696663.0,,,,,,23.45,,,,,,-1.0,,,,,,0.261659,,,,,,1.90165,,,,,,2.1616,,,,,,20083.7421544895,,,,,
2001-10,1890.87,646099.14,418907.03,1298386.5,34.4041939381587,22.1804109893876,74.7083234826732,44.2869921002081,40.3749657737926,62678574405.0,136371696663.0,18.6,1.2,0.327726,2.44167,2.7071,23620.4400762994,6500.83,,,,,,565464.63,,,,,,360694.52,,,,,,1250830.7,,,,,,40.2817536668567,,,,,,22.1804109893876,,,,,,74.3320018365599,,,,,,43.7297637180494,,,,,,47.7289434339383,,,,,,62678574405.0,,,,,,136371696663.0,,,,,,22.7,,,,,,-1.25,,,,,,0.264464,,,,,,1.94164,,,,,,2.1847,,,,,,21889.77465842,,,,,
